text,label
Win $2000 cash now!!! Visit our link to claim.,spam
Happy birthday! Have a great day.,ham
Lucky winner! Receive $500 reward today.,spam
Earn money from home. Earn up to $500 weekly.,spam
Claim your free smart watch before offer expires.,spam
Lucky winner! Receive $500 reward today.,spam
Congratulations! You won a laptop. Click here to claim now.,spam
Let's meet in the library to study.,ham
Win $2000 cash now!!! Visit our link to claim.,spam
Lucky winner! Receive $1000 reward today.,spam
Lucky winner! Receive $2000 reward today.,spam
Congratulations! You won a laptop. Click here to claim now.,spam
Congratulations! You won a iPhone. Click here to claim now.,spam
You are chosen for a free trip to Goa. Call now to confirm.,spam
Lucky winner! Receive $1000 reward today.,spam
Earn money from home. Earn up to $2000 weekly.,spam
URGENT! Your account selected for $1000 reward. Reply YES.,spam
Thanks for helping me with the code.,ham
URGENT! Your account selected for $1000 reward. Reply YES.,spam
Earn money from home. Earn up to $2000 weekly.,spam
Win $1000 cash now!!! Visit our link to claim.,spam
Let's meet in the library to study.,ham
I will finish the project tonight.,ham
Lucky winner! Receive $1000 reward today.,spam
Are we playing BGMI later?,ham
I will finish the project tonight.,ham
Act fast! Exclusive deal on shoes just for you.,spam
Win $1000 cash now!!! Visit our link to claim.,spam
Earn money from home. Earn up to $500 weekly.,spam
Let's meet in the library to study.,ham
Free entry in contest to win shopping voucher.,spam
Win $100 cash now!!! Visit our link to claim.,spam
Claim your free smart watch before offer expires.,spam
Can you send me the notes from today's lecture?,ham
You are chosen for a free vacation to Dubai. Call now to confirm.,spam
I will finish the project tonight.,ham
Limited offer! Get 70% discount on shoes.,spam
Congratulations! You won a laptop. Click here to claim now.,spam
Congratulations! You won a shopping voucher. Click here to claim now.,spam
Class starts at 10 am tomorrow.,ham
Earn money from home. Earn up to $1000 weekly.,spam
Are we playing BGMI later?,ham
Congratulations! You won a shopping voucher. Click here to claim now.,spam
Act fast! Exclusive deal on smart watch just for you.,spam
Let's meet in the library to study.,ham
Act fast! Exclusive deal on mobile phone just for you.,spam
Class starts at 10 am tomorrow.,ham
Thanks for helping me with the code.,ham
Class starts at 10 am tomorrow.,ham
Thanks for helping me with the code.,ham
Are we playing BGMI later?,ham
Win $2000 cash now!!! Visit our link to claim.,spam
Free entry in contest to win gift card.,spam
Claim your free mobile phone before offer expires.,spam
Act fast! Exclusive deal on headphones just for you.,spam
